timeStamp,elapsed,responseCode,responseMessage,threadName,success,grpThreads,allThreads,URL,Latency,Connect
1594786612853,536,200,OK,Grupo de Usuários 1-16,true,98,98,https://www.arkcanal.com/,61,0
1594786612840,676,200,OK,Grupo de Usuários 1-15,true,97,97,https://www.arkcanal.com/,58,0
1594786612968,556,200,OK,Grupo de Usuários 1-21,true,97,97,https://www.arkcanal.com/,63,0
1594786612839,690,200,OK,Grupo de Usuários 1-20,true,97,97,https://www.arkcanal.com/,52,0
1594786612837,873,200,OK,Grupo de Usuários 1-28,true,97,97,https://www.arkcanal.com/,58,0
1594786613097,658,200,OK,Grupo de Usuários 1-17,true,97,97,https://www.arkcanal.com/,65,0
1594786613008,825,200,OK,Grupo de Usuários 1-19,true,96,96,https://www.arkcanal.com/,67,0
1594786613039,808,200,OK,Grupo de Usuários 1-22,true,95,95,https://www.arkcanal.com/,68,0
1594786613265,608,200,OK,Grupo de Usuários 1-18,true,95,95,https://www.arkcanal.com/,64,0
1594786613353,534,200,OK,Grupo de Usuários 1-26,true,94,94,https://www.arkcanal.com/,57,0
1594786613208,700,200,OK,Grupo de Usuários 1-23,true,94,94,https://www.arkcanal.com/,68,0
1594786612664,1291,200,OK,Grupo de Usuários 1-29,true,93,93,https://www.arkcanal.com/,182,0
1594786613524,438,200,OK,Grupo de Usuários 1-21,true,93,93,https://www.arkcanal.com/,51,0
1594786613141,848,200,OK,Grupo de Usuários 1-24,true,92,92,https://www.arkcanal.com/,67,0
1594786613529,562,200,OK,Grupo de Usuários 1-20,true,92,92,https://www.arkcanal.com/,58,0
1594786613516,582,200,OK,Grupo de Usuários 1-15,true,92,92,https://www.arkcanal.com/,51,0
1594786613128,1081,200,OK,Grupo de Usuários 1-27,true,91,91,https://www.arkcanal.com/,67,0
1594786613710,556,200,OK,Grupo de Usuários 1-28,true,91,91,https://www.arkcanal.com/,58,0
1594786613887,396,200,OK,Grupo de Usuários 1-26,true,91,91,https://www.arkcanal.com/,51,0
1594786613847,516,200,OK,Grupo de Usuários 1-22,true,90,90,https://www.arkcanal.com/,54,0
1594786614091,396,200,OK,Grupo de Usuários 1-20,true,89,89,https://www.arkcanal.com/,50,0
1594786613989,536,200,OK,Grupo de Usuários 1-24,true,88,88,https://www.arkcanal.com/,90,0
1594786610550,3986,200,OK,Grupo de Usuários 1-50,true,88,88,https://www.arkcanal.com/,3385,2319
1594786613956,613,200,OK,Grupo de Usuários 1-29,true,88,88,https://www.arkcanal.com/,123,0
1594786610540,4049,200,OK,Grupo de Usuários 1-49,true,88,88,https://www.arkcanal.com/,2331,29
1594786610514,4090,200,OK,Grupo de Usuários 1-46,true,88,88,https://www.arkcanal.com/,2350,45
1594786610530,4079,200,OK,Grupo de Usuários 1-48,true,88,88,https://www.arkcanal.com/,2338,31
1594786610522,4089,200,OK,Grupo de Usuários 1-47,true,88,88,https://www.arkcanal.com/,2347,35
1594786614266,464,200,OK,Grupo de Usuários 1-28,true,88,88,https://www.arkcanal.com/,50,0
